City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
257,Knysna,ZA,-34.0363,23.0471,68.38,77,98,7.4,overcast clouds
258,Torres,BR,-29.3353,-49.7269,81.82,67,65,8.55,broken clouds
259,Vao,NC,-22.6667,167.4833,77.52,89,100,14.52,overcast clouds
260,Ostrovnoy,RU,68.0531,39.5131,29.97,90,100,18.81,light snow
261,Karratha,AU,-20.7377,116.8463,91.8,21,2,14.38,clear sky
262,Saldanha,ZA,-33.0117,17.9442,71.65,86,100,13.67,overcast clouds
263,Nemuro,JP,43.3236,145.575,41.99,70,68,29.04,light rain
264,Kazachinskoye,RU,57.6953,93.2761,6.17,95,100,5.01,overcast clouds
265,Lorengau,PG,-2.0226,147.2712,81.77,85,74,9.69,light rain
266,Erenhot,CN,43.6475,111.9767,15.75,60,0,15.05,clear sky
267,Paragominas,BR,-2.9667,-47.4833,94.84,38,52,9.69,broken clouds
268,Awjilah,LY,29.1081,21.2869,60.04,30,63,6.82,broken clouds
269,Saint Michael,US,45.21,-93.665,35.1,68,1,3.0,clear sky
270,Laibin,CN,23.7,109.2667,54.19,63,56,11.41,broken clouds
271,Ongandjera,NA,-17.8833,15.0667,88.23,30,48,10.49,scattered clouds
272,Namatanai,PG,-3.6667,152.4333,79.18,83,100,0.87,light rain
273,Mount Gambier,AU,-37.8333,140.7667,62.51,59,30,10.36,scattered clouds
274,Camacha,PT,33.0833,-16.3333,65.53,94,40,3.44,light intensity drizzle
275,Flinders,AU,-34.5833,150.8552,61.21,86,49,6.13,scattered clouds
276,Corinth,GR,37.9407,22.9573,60.69,79,5,6.11,clear sky
277,Prudentopolis,BR,-25.2131,-50.9778,81.75,38,86,3.53,light rain
278,San Jose,US,37.3394,-121.895,53.26,71,75,11.5,broken clouds
279,Bayan,CN,46.0833,127.4,-0.49,92,9,6.85,clear sky
280,Taos,US,36.4072,-105.5731,48.54,32,1,3.44,clear sky
281,Sioux Lookout,CA,50.1001,-91.917,30.58,74,1,10.36,clear sky
282,Verkhnevilyuysk,RU,63.4453,120.3167,-27.72,98,99,5.14,overcast clouds
283,Mbandaka,CD,0.0487,18.2603,77.54,78,100,5.75,overcast clouds
284,Bubaque,GW,11.2833,-15.8333,81.61,72,51,12.03,broken clouds
285,Sulangan,PH,11.1373,123.7228,80.62,84,57,14.23,broken clouds
286,Jacareacanga,BR,-6.2222,-57.7528,80.4,84,99,3.33,overcast clouds
287,Mitsamiouli,KM,-11.3847,43.2844,82.69,65,20,21.85,few clouds
288,Narsaq,GL,60.9167,-46.05,10.42,82,10,7.45,clear sky
289,Tarko-Sale,RU,64.9225,77.785,-22.14,96,46,7.29,scattered clouds
290,Avenal,US,36.0041,-120.129,48.18,41,22,1.86,few clouds
291,Qinhuangdao,CN,39.9317,119.5883,26.46,35,0,6.89,clear sky
292,Yuzhno-Kurilsk,RU,44.0306,145.8556,39.0,81,92,13.38,overcast clouds
293,Tilichiki,RU,60.4667,166.1,-8.48,81,100,13.47,overcast clouds
294,Port Shepstone,ZA,-30.7414,30.455,74.17,88,99,2.71,light rain
295,Faanui,PF,-16.4833,-151.75,80.35,73,63,10.83,broken clouds
296,Machiques,VE,10.0644,-72.545,90.63,41,87,7.4,overcast clouds
297,Lata,PT,40.1629,-8.3327,64.81,73,27,1.66,scattered clouds
298,Samut Sakhon,TH,13.5833,100.3,80.58,73,7,7.38,clear sky
299,Kalmunai,LK,7.4167,81.8167,78.1,88,100,8.5,very heavy rain
300,Takoradi,GH,4.8845,-1.7554,83.19,75,35,11.07,scattered clouds
301,Eyl,SO,7.9803,49.8164,77.52,75,8,23.6,clear sky
302,Livingston,GB,55.9029,-3.5226,52.12,87,75,3.44,broken clouds
303,Hun,LY,29.1268,15.9477,56.28,46,0,8.57,clear sky
304,Dongsheng,CN,39.8161,109.9776,18.66,58,0,8.55,clear sky
305,Esik,KZ,43.3552,77.4525,24.22,66,66,7.0,broken clouds
306,Barinitas,VE,8.7622,-70.4111,85.48,35,44,5.7,scattered clouds
307,Ippy,CF,6.2679,21.2247,86.43,24,69,3.09,broken clouds
308,Byron Bay,AU,-28.65,153.6167,69.06,87,56,8.03,broken clouds
309,Christiana,ZA,-27.914,25.1611,78.35,47,84,13.85,broken clouds
310,Dogongan,PH,14.1032,122.9098,77.22,90,100,15.08,overcast clouds
311,Dharchula,IN,29.85,80.5333,50.09,32,60,6.33,broken clouds
312,Roald,NO,62.5833,6.1333,44.74,70,75,10.36,broken clouds
313,Bengkulu,ID,-3.8004,102.2655,75.85,91,94,3.98,moderate rain
314,Ruteng,ID,-8.6136,120.4721,63.93,91,100,1.43,overcast clouds
315,Leshukonskoye,RU,64.8989,45.7622,13.66,89,99,7.02,overcast clouds
316,Zemio,CF,5.0314,25.1361,84.02,29,88,3.02,overcast clouds
317,Kampot,KH,10.6167,104.1833,73.45,74,49,9.48,scattered clouds
318,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,40,23.02,scattered clouds
319,Channel-Port Aux Basques,CA,47.5702,-59.1367,41.52,79,100,36.75,light rain
320,Ambon,ID,-3.6954,128.1814,82.06,80,99,5.17,overcast clouds
321,Asau,RO,46.4333,26.4,41.95,85,100,3.87,overcast clouds
322,Tuatapere,NZ,-46.1333,167.6833,45.82,88,66,2.77,broken clouds
323,Zaozerne,UA,45.1582,33.2787,52.95,78,100,9.04,overcast clouds
324,Malatya,TR,38.5,38.0,37.45,81,75,2.3,broken clouds
325,Qaqortoq,GL,60.7167,-46.0333,12.83,86,9,5.95,clear sky
326,Dwarka,IN,22.2394,68.9678,74.41,57,0,12.64,clear sky
327,Alyangula,AU,-13.8483,136.4192,73.27,100,72,1.14,broken clouds
328,Paredon,MX,16.0333,-93.8667,90.63,41,1,12.64,clear sky
329,Ler,SS,8.3018,30.1418,85.06,22,97,3.78,overcast clouds
330,Bontang,ID,0.1333,117.5,76.87,90,99,4.16,overcast clouds
331,Kousseri,CM,12.0769,15.0306,94.96,11,91,6.91,overcast clouds
332,Port Macquarie,AU,-31.4333,152.9167,62.56,89,12,8.86,few clouds
333,Paraiso,CR,9.8383,-83.8656,72.95,57,73,5.88,broken clouds
334,Ambilobe,MG,-13.2,49.05,77.67,71,69,2.3,broken clouds
335,Ushtobe,KZ,45.2514,77.9838,32.38,93,100,3.89,overcast clouds
336,Codrington,AU,-38.2667,141.9667,59.43,49,10,8.66,clear sky
337,Atambua,ID,-9.1061,124.8925,75.22,89,89,3.04,overcast clouds
338,Arman,RU,59.7,150.1667,14.02,94,100,9.35,light snow
339,Novobirilyussy,RU,56.9514,90.6661,4.86,95,100,6.53,overcast clouds
340,Mahon,ES,39.8885,4.2658,52.36,82,20,5.75,few clouds
341,Yining,CN,29.0361,114.5636,47.32,90,99,2.57,overcast clouds
342,Don Sak,TH,9.3168,99.6918,74.07,77,31,8.19,scattered clouds
343,Herstal,BE,50.6642,5.6235,50.14,93,75,11.5,broken clouds
344,Kokkola,FI,63.8385,23.1307,32.04,94,90,4.0,overcast clouds
345,Pisco,PE,-13.7,-76.2167,71.02,78,75,6.91,broken clouds
